Date,Close,High,Low,Open,Volume,Peaklabel
2020-09-14,12.8337984085083,13.27522583003535,12.593519084805234,13.041925565935065,1201744000,0
2020-09-15,12.952195167541504,13.25902564618018,12.789432836907169,13.240331463550191,727556000,1
2020-09-16,12.477118492126465,13.053641174204953,12.476371143154827,12.918545962260684,556384000,0
2020-09-17,12.42626953125,12.552142668299084,11.998800238855086,12.096008838443781,792512000,0
2020-09-18,12.152839660644531,12.594765338345685,11.952939035287185,12.556131392172427,698460000,0
2020-09-21,12.479857444763184,12.485091738687508,11.868937851522867,11.889376794701304,721044000,0
2020-09-22,12.600001335144043,12.61022081017737,12.119192530019532,12.537438903227134,646452000,0
2020-09-23,12.087536811828613,12.688985441905816,12.043170331610272,12.537937263609473,647012000,-1
2020-09-24,12.311114311218262,12.531953054209632,11.978112382666597,12.036188807457405,731240000,0
2020-09-25,12.835294723510742,12.84501596453029,12.209171306298606,12.41031846374043,588016000,0
2020-09-28,12.996063232421875,13.012763533486964,12.711914702958431,13.001297527420926,573808000,0
2020-09-29,13.18624210357666,13.402593890332172,12.89461631388509,12.898853192345598,621460000,0
2020-09-30,13.490083694458008,13.581808890498191,13.110969555300997,13.118197731609422,689184000,0
2020-10-01,13.573830604553223,13.721637377178999,13.42053947052414,13.716902266258668,525004000,0
2020-10-02,13.023233413696289,13.479117258050469,13.012016522829573,13.185497525567968,552496000,-1
2020-10-05,13.601746559143066,13.603491323873763,13.183250238397193,13.196461007426237,479820000,0
2020-10-06,13.695466041564941,14.099755140576931,13.624179801694984,13.788686874789306,784420000,0
2020-10-07,13.922287940979004,14.077074742006564,13.822088037630643,13.957931540235233,418084000,0
2020-10-08,13.79741096496582,14.042427289964117,13.716902667061937,14.03295516619571,378900000,0
2020-10-09,13.721639633178711,13.782956477201752,13.619945027428178,13.725877463066608,346892000,0
2020-10-12,14.183502197265625,14.304141020417337,13.87093927022535,13.947708911780774,434744000,0
2020-10-13,14.205687522888184,14.305638298709242,13.976873269655819,14.253793587879533,344604000,1
2020-10-14,14.053145408630371,14.299905554881196,13.918299330296772,14.247811725098789,276100000,0
2020-10-15,13.928272247314453,13.963914900125252,13.726625883475952,13.769497664209721,267224000,0
2020-10-16,13.770242691040039,14.079317095516227,13.75129939348366,13.99482008081248,242392000,0
2020-10-19,13.457429885864258,13.941728103405332,13.366701165221105,13.861468922412797,298068000,0
2020-10-20,13.60473918914795,13.75852856761623,13.466652694794615,13.54292411787451,229212000,0
2020-10-21,13.484352111816406,13.750305679709681,13.437243450207614,13.5843029142852,219596000,0
2020-10-22,13.321090698242188,13.571091296191828,13.192226243674368,13.482108274250182,290480000,0
2020-10-23,13.549654006958008,13.552645304156187,13.251547375438108,13.409822748262625,233484000,0
2020-10-26,13.101996421813965,13.651849397272162,12.999553513534655,13.386893267496088,336896000,0
2020-10-27,13.356733322143555,13.40184809604685,13.152095681900734,13.266253707199537,250520000,0
2020-10-28,12.589280128479004,13.220389585926739,12.571334248485408,13.158574520220286,376520000,0
2020-10-29,12.985095977783203,13.153341711912574,12.71191428002789,12.800149943144369,320080000,0
2020-10-30,12.496560096740723,12.897856990701754,12.263258872527214,12.811616158245108,416820000,-1
2020-11-02,12.543169975280762,12.798404833311498,12.35797482933027,12.619939630643891,299652000,0
2020-11-03,12.980609893798828,13.06585426529699,12.565104792146153,12.670538995377685,272900000,0
2020-11-04,13.753045082092285,13.786196568161712,13.297161279467009,13.349255113539506,410228000,0
